SEP=,
Translation key (DON'T EDIT!!!),TRANSLATION IN zh_cn - EDIT THIS COLUMN,English text (DON'T EDIT - reference only)
advancements.the.descr,你拿到了！,YOU'VE GOT THE THING!
fluid.thefluid,这种液体,Thefluid
item.the.thehoe,这个锄头,Thehoe
advancements.the.title,它-成就,The
biome.the.theplace,那个地方,Theplace
item.the.thething,Thething,Thething
item.the.theknife,这把刀,Theknife
block.the.theblock,这个方块,Theblock
block.the.theore,它的矿石,Theore
item.the.thestrangefood,这这种奇怪的食物,Thestrangefood
item.the.thearmorbody,这个胸甲,The Body
itemGroup.tabthetab,它的页面,The Tab
item.the.theaxe,这个斧子,Theaxe
item.the.thearmorlegs,这个护腿,The Leggings
item.the.thefuel,这种燃料,Thefuel
item.the.thenewworld,新世界的钥匙,The New World Portal Igniter
item.the.thearmorhelmet,这个头盔,The Helmet
block.the.thestrangemud,奇怪的土,Thestrangemud
item.the.theshovel,这个铲子,Theshovel
item.the.thearmorboots,这个靴子,The Boots
item.the.thenugget,Thething粒,Thenugget
item.the.thesword,这把剑,The Sword
block.the.thewitherblock,凋灵方块,Thewitherblock
item.the.thefluid_bucket,这种液体的桶,Thefluid Bucket
item.the.thepickaxe,这个镐子,Thepickaxe
item.the.therubbish,垃圾,Therubbish
